doi,title,publication_year,cited_by_count,citation_normalized_percentile,pdf_url,open_access,source,priority,download_status
10.1016/0016-0032(56)91157-7,Electrolyte solutions,1956.0,800,0.99869826,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.electacta.2016.12.018,Intergranular Li metal propagation through polycrystalline Li6.25Al0.25La3Zr2O12 ceramic electrolyte,2016.0,672,0.99612843,,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.nanoen.2018.01.028,A durable and safe solid-state lithium battery with a hybrid electrolyte membrane,2018.0,594,0.99903323,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.joule.2017.08.009,4.0 V Aqueous Li-Ion Batteries,2017.0,543,0.99841456,http://www.cell.com/article/S254243511730034X/pdf,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.chempr.2017.12.012,Lithium-Sulfur Batteries for Commercial Applications,2018.0,245,0.99020307,http://www.cell.com/article/S2451929417305144/pdf,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1149/1945-7111/abf8d7,Editors’ Choice—Quantifying the Impact of Charge Transport Bottlenecks in Composite Cathodes of All-Solid-State Batteries,2021.0,207,0.99438596,,True,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.08.028,Enabling robust structural and interfacial stability of micron-Si anode toward high-performance liquid and solid-state lithium-ion batteries,2022.0,191,0.99661064,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.jpowsour.2012.04.101,High rate cycling performance of lanthanum-modified Li4Ti5O12 anode materials for lithium-ion batteries,2012.0,187,0.99462019,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.02.014,A 3D interconnected metal-organic framework-derived solid-state electrolyte for dendrite-free lithium metal battery,2022.0,176,0.99590616,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.10.055,Polymer-in-salt electrolyte enables ultrahigh ionic conductivity for advanced solid-state lithium metal batteries,2022.0,162,0.99537904,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2023.02.008,4.2V polymer all-solid-state lithium batteries enabled by high-concentration PEO solid electrolytes,2023.0,157,0.99766461,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.jechem.2022.01.008,Dielectric polymer based electrolytes for high-performance all-solid-state lithium metal batteries,2022.0,155,0.99499478,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.02.035,Integrated design of ultrathin crosslinked network polymer electrolytes for flexible and stable all-solid-state lithium batteries,2022.0,152,0.99480265,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.02.048,Topology crafting of polyvinylidene difluoride electrolyte creates ultra-long cycling high-voltage lithium metal solid-state batteries,2022.0,152,0.99445791,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.06.037,Insight into the integration way of ceramic solid-state electrolyte fillers in the composite electrolyte for high performance solid-state lithium metal battery,2022.0,146,0.99396035,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.12.048,Novel PEO-based composite electrolyte for low-temperature all-solid-state lithium metal batteries enabled by interfacial cation-assistance,2023.0,145,0.99719044,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.06.011,In-situ construction of Li-Mg/LiF conductive layer to achieve an intimate lithium-garnet interface for all-solid-state Li metal battery,2022.0,143,0.99394053,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
10.1016/j.ensm.2022.04.035,Constructing 3D Li+-percolated transport network in composite polymer electrolytes for rechargeable quasi-solid-state lithium batteries,2022.0,141,0.99361059,,False,Yearly TOP 1.0% cited,1,Failed (Crawling Timeout or Error)
