doi,title,publication_year,cited_by_count,citation_normalized_percentile,pdf_url,open_access,source,priority,download_status
10.1038/nenergy.2016.30,High-power all-solid-state batteries using sulfide superionic conductors,2016.0,3311,0.99992409,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1038/nnano.2014.6,A pomegranate-inspired nanoscale design for large-volume-change lithium battery anodes,2014.0,2428,0.99988693,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1038/nmat1672,High rate capabilities Fe3O4-based Cu nano-architectured electrodes for lithium-ion battery applications,2006.0,1990,0.99966537,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1038/nmat4821,Negating interfacial impedance in garnet-based solid-state Li metal batteries,2016.0,1943,0.99985217,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1021/acsami.5b07517,Origin of Outstanding Stability in the Lithium Solid Electrolyte Materials: Insights from Thermodynamic Analyses Based on First-Principles Calculations,2015.0,1811,0.99883417,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41560-018-0312-z,High electronic conductivity as the origin of lithium dendrite formation within solid electrolytes,2019.0,1614,0.99988781,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1038/s41560-020-0575-z,High-energy long-cycling all-solid-state lithium metal batteries enabled by silver–carbon composite anodes,2020.0,1583,0.9999189,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1038/nmat4369,Design principles for solid-state lithium superionic conductors,2015.0,1416,0.99951747,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/j.nanoen.2017.12.037,PEO/garnet composite electrolytes for solid-state lithium batteries: From “ceramic-in-polymer” to “polymer-in-ceramic”,2017.0,1366,0.99958641,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41560-020-0565-1,Benchmarking the performance of all-solid-state lithium batteries,2020.0,1125,0.99983329,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/adma.201803075,Solid Halide Electrolytes with High Lithium‐Ion Conductivity for Application in 4 V Class Bulk‐Type All‐Solid‐State Batteries,2018.0,1100,0.99795508,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1016/s0167-2738(00)00327-1,Thin-film lithium and lithium-ion batteries,2000.0,1077,0.99660811,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1038/s41560-019-0349-7,Solid-state polymer electrolytes with in-built fast interfacial transport for secondary lithium batteries,2019.0,1058,0.9996591,,False,Yearly TOP 1.0% cited,1,Success (API)
10.1002/aenm.201501590,Electrochemical Stability of Li<sub>10</sub>GeP<sub>2</sub>S<sub>12</sub> and Li<sub>7</sub>La<sub>3</sub>Zr<sub>2</sub>O<sub>12</sub> Solid Electrolytes,2016.0,1032,0.99875742,,True,Yearly TOP 1.0% cited,1,Success (API)
10.1039/c5ta08574h,First principles study on electrochemical and chemical stability of solid electrolyte–electrode interfaces in all-solid-state Li-ion batteries,2015.0,997,0.99725853,,True,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/jacs.7b06364,"Synergistic Coupling between Li<sub>6.75</sub>La<sub>3</sub>Zr<sub>1.75</sub>Ta<sub>0.25</sub>O<sub>12</sub> and Poly(vinylidene fluoride) Induces High Ionic Conductivity, Mechanical Strength, and Thermal Stability of Solid Composite Electrolytes",2017.0,964,0.99895223,,False,Yearly TOP 1.0% cited,1,Success (Sci-Hub)
10.1021/acs.chemmater.7b00931,Capacity Fade in Solid-State Batteries: Interphase Formation and Chemomechanical Processes in Nickel-Rich Layered Oxide Cathodes and Lithium Thiophosphate Solid Electrolytes,2017.0,932,0.99878679,,False,Yearly TOP 1.0% cited,1,Success (Crawling)
