suite_name,experiment_publisher_group,publisher_display_name,suite_slot_index,suite_slot_bucket,selection_reason,selection_bucket,source_open_access,source_has_pdf_url,doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
pilot,acs,ACS,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1021/nl100161z,Light Trapping in Silicon Nanowire Solar Cells,American Chemical Society,2010,2157,,False,Pending
pilot,elsevier,Elsevier,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1016/j.apsusc.2016.09.093,Surface modification and enhanced photocatalytic CO2 reduction performance of TiO2: a review,Elsevier BV,2016,1136,,False,Pending
pilot,cell,Cell-family,1,landing_oa,preferred:landing_oa,landing_oa,True,False,10.1016/j.mattod.2019.09.003,State-of-the-art advancements of crystal facet-exposed photocatalysts beyond TiO2: Design and dependent performance for solar energy conversion and environment applications,Elsevier BV,2019,149,,True,Pending
pilot,cell,Cell-family,2,direct_pdf_oa,preferred:direct_pdf_oa,direct_pdf_oa,True,True,10.1016/j.joule.2020.07.015,Hydrovoltaic Energy on the Way,Elsevier BV,2020,235,http://www.cell.com/article/S2542435120303330/pdf,True,Pending
pilot,wiley,Wiley,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1002/anie.200351577,Daylight Photocatalysis by Carbon‐Modified Titanium Dioxide,Wiley,2003,2049,,False,Pending
pilot,aip,AIP/AVS,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1063/1.4821858,Depletion-mode Ga2O3 metal-oxide-semiconductor field-effect transistors on β-Ga2O3 (010) substrates and temperature dependence of their device characteristics,American Institute of Physics,2013,692,,False,Pending
pilot,nature,Nature Portfolio,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1038/nbt994,In vivo cancer targeting and imaging with semiconductor quantum dots,Nature Portfolio,2004,4701,,False,Pending
pilot,springer,Springer Link,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1007/s00604-015-1705-3,"A review on syntheses, properties, characterization and bioanalytical applications of fluorescent carbon dots",Springer Science+Business Media,2015,675,,False,Pending
pilot,rsc,RSC,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1039/b800274f,Graphitic carbon nitride materials: variation of structure and morphology and their use as metal-free catalysts,Royal Society of Chemistry,2008,3330,,False,Pending
pilot,rsc,RSC,2,landing_oa,preferred:landing_oa,landing_oa,True,False,10.1039/c1jm10407a,"Mesoporous titania photocatalysts: preparation, characterization and reaction mechanisms",Royal Society of Chemistry,2011,452,,True,Pending
pilot,iop,IOP,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1149/1.3504196,Atomic Layer Deposition of Ni Thin Films and Application to Area-Selective Deposition,Institute of Physics,2010,84,,False,Pending
pilot,mdpi,MDPI,1,direct_pdf_oa,preferred:direct_pdf_oa,direct_pdf_oa,True,True,10.3390/s100605469,Metal Oxide Semi-Conductor Gas Sensors in Environmental Monitoring,Multidisciplinary Digital Publishing Institute,2010,1415,https://www.mdpi.com/1424-8220/10/6/5469/pdf?version=1403312554,True,Pending
pilot,ieee,IEEE,1,landing_closed,preferred:landing_closed,landing_closed,False,False,10.1109/led.2015.2512279,Field-Plated Ga<sub>2</sub>O<sub>3</sub>MOSFETs With a Breakdown Voltage of Over 750 V,Institute of Electrical and Electronics Engineers,2015,511,,False,Pending
