doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
10.1016/j.apsusc.2024.160141,Blocking mechanisms in area-selective ALD by small molecule inhibitors of different sizes: Steric shielding versus chemical passivation,Elsevier BV,2024,25,https://ars.els-cdn.com/content/image/1-s2.0-S0169433224008547-ga1_lrg.jpg,True,Failed (Not Found)
10.1016/j.apsusc.2024.160033,Area-selective atomic layer deposition (AS-ALD) of low temperature (300 °C) cobalt thin film using octadecyltrichlorosilane (ODTS) self-assembled monolayers (SAMs),Elsevier BV,2024,15,,False,Failed (Not Found)
10.1016/j.ijmachtools.2024.104173,Area selective deposition for bottom-up atomic-scale manufacturing,Elsevier BV,2024,15,,False,Failed (Not Found)
10.1063/5.0207496,<i>In situ</i> formation of inhibitor species through catalytic surface reactions during area-selective atomic layer deposition of TaN,American Institute of Physics,2024,10,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/5.0207496/19961666/204701_1_5.0207496.pdf,True,Failed (Not Found)
10.1016/j.apsusc.2024.160530,Si precursor inhibitors for area selective deposition of Ru,Elsevier BV,2024,8,,False,Failed (Not Found)
10.1016/j.apmt.2024.102160,Self-isolating electrode deposition process using the area-selective MoO2 and MoO3 atomic layer deposition technique,Elsevier BV,2024,4,,False,Failed (Not Found)
10.1116/6.0003838,Stochastic lattice model for atomic layer deposition and area-selective deposition of metal oxides: Visualization and analysis of lateral overgrowth during area-selective deposition,American Institute of Physics,2024,2,,False,Failed (Not Found)
10.1016/j.cej.2024.150760,Highly area-selective atomic layer deposition of device-quality Hf1-xZrxO2 thin films through catalytic local activation,Elsevier BV,2024,12,,False,Failed (Not Found)
10.1016/j.apsusc.2024.160099,Area-selective atomic layer deposition of Ru thin films by chemo-selective inhibition of alkyl aldehyde molecules on nitride surfaces,Elsevier BV,2024,10,,False,Failed (Not Found)
10.1016/j.matlet.2024.136570,Selective nitride passivation using vapor-dosed aldehyde inhibitors for area-selective atomic layer deposition,Elsevier BV,2024,10,,False,Failed (Not Found)
10.1016/j.bios.2024.116433,Controllable ion design in flexible metal organic framework film for performance regulation of electrochemical biosensing,Elsevier BV,2024,7,,False,Failed (Not Found)
10.1016/j.dche.2024.100140,Multiscale computational fluid dynamics modeling of an area-selective atomic layer deposition process using a discrete feed method,Elsevier BV,2024,11,,True,Failed (Not Found)
10.1116/6.0003941,Preparation of Br-terminated Si(100) and Si(111) surfaces and their use as atomic layer deposition resists,American Institute of Physics,2024,6,,False,Failed (Not Found)
10.1116/6.0003790,Inherent area selective deposition of silicon dioxide in multilayer 3D SiO<i>x</i>–SiN<i>x</i> stacks,American Institute of Physics,2024,3,,False,Failed (Not Found)
10.1116/6.0003847,Effect of Al precursor’s properties on interactions with self-assembled monolayers for area selective deposition,American Institute of Physics,2024,3,,False,Failed (Not Found)
10.1116/6.0003261,Area-selective atomic layer deposition of palladium,American Institute of Physics,2024,2,,False,Failed (Not Found)
10.1016/j.surfin.2024.104133,In situ differential atomic force microscopy (AFM) measurement for ultra-thin Thiol SAM patterns by area-selective deposition technique,Elsevier BV,2024,2,,False,Failed (Not Found)
10.35848/1347-4065/ad9481,Development of hybrid bonding using area-selective passivation layer deposition technology on various substrates for heterogeneous integrated structure,Institute of Physics,2024,1,https://iopscience.iop.org/article/10.35848/1347-4065/ad9481/pdf,True,Failed (Not Found)
10.1016/j.ccr.2024.215942,"ZnO nanostructures – Future frontiers in photocatalysis, solar cells, sensing, supercapacitor, fingerprint technologies, toxicity, and clinical diagnostics",Elsevier BV,2024,84,,True,Failed (Not Found)
10.1016/j.catcom.2024.106914,"Synthesis, properties, and utilization of carbon quantum dots as photocatalysts on degradation of organic dyes: A mini review",Elsevier BV,2024,66,,True,Failed (Not Found)
10.1016/j.apcatb.2024.124297,Hydrogen bond-assisted construction of MOF/semiconductor heterojunction photocatalysts for highly efficient electron transfer,Elsevier BV,2024,47,,False,Failed (Not Found)
10.1016/j.rser.2024.114615,Theoretical and experimental progress in photothermal catalysis for sustainable energy and environmental protection: Key problems and strategies towards commercialization,Elsevier BV,2024,46,,False,Failed (Not Found)
10.1016/j.ccr.2024.215870,"Unveiling cutting-edge progress in the fundamentals of MXene: Synthesis strategies, energy and bio-environmental applications",Elsevier BV,2024,35,,False,Failed (Not Found)
10.1016/j.snb.2024.135542,Ultra-dense SnO2 QDs-decorated MXene nanosheets with high water dispersibility for rapid NH3 sensing at room temperature,Elsevier BV,2024,31,,False,Failed (Not Found)
10.1016/j.snb.2024.135701,Polycrystalline hollow MOF derived Co3O4 semiconductor to achieve room-temperature ammonia detection in human exhaled breath,Elsevier BV,2024,29,,False,Failed (Not Found)
10.1016/j.jmst.2024.04.016,Advancements in two-dimensional Ti3C2 MXene interfaced semiconductors for room temperature NO2 gas sensing: A review,Elsevier BV,2024,28,,False,Failed (Not Found)
10.1016/j.jece.2024.111991,Fabrication of MoSe2/Bi3O4Br Z-scheme heterojunction with enhanced photocatalytic performance,Elsevier BV,2024,25,,False,Failed (Not Found)
10.1016/j.cej.2024.150100,Toward highly-robust MXene hybrid memristor by synergetic ionotronic modification and two-dimensional heterojunction,Elsevier BV,2024,25,,False,Failed (Not Found)
10.1016/j.scitotenv.2024.172816,Recent progression in MXene-based catalysts for emerging photocatalytic applications of CO2 reduction and H2 production: A review,Elsevier BV,2024,25,,False,Failed (Not Found)
10.1016/j.cej.2024.149657,Development of a lanthanum-based metal–organic framework electrode for highly selective fluoride removal by capacitive deionization (CDI): Performances and mechanisms,Elsevier BV,2024,23,,False,Failed (Not Found)
10.1088/1402-4896/ad1e44,A review of novel methods to improve the optical and electrical properties of n-type and p-type sulphides and oxides: leading the frontiers of semiconductor technology,IOP Publishing,2024,22,,True,Failed (Not Found)
10.1016/j.susmat.2024.e00935,Recent advances and prospects in MOF/MXene sensors,Elsevier BV,2024,21,,False,Failed (Not Found)
10.1016/j.surfin.2024.104073,"Quantum capacitance, structural, optical and electronic properties of Zr2CT2 (T = F, P, Cl, Se, Br, O, S, OH) MXenes: A DFT study",Elsevier BV,2024,20,,False,Failed (Not Found)
10.1007/s12598-024-02864-w,Halide perovskite‐based heterostructures for photocatalytic CO <sub>2</sub> conversion,Springer Science+Business Media,2024,20,,False,Failed (Not Found)
10.1088/2053-1583/ad1a6e,Area-selective chalcogenization of transition metals through graphene mask,IOP Publishing,2024,2,https://iopscience.iop.org/article/10.1088/2053-1583/ad1a6e/pdf,True,Failed (Not Found)
10.1109/ectc51529.2024.00363,Low Temperature Cu/SiO<sub>2</sub> Hybrid Bonding Using Area-Selective Metal Passivation (Interface Metal) Technology for 3D IC and Advanced Packaging,,2024,6,,False,Failed (Not Found)
10.35848/1882-0786/ada247,Surface patterning of wide-gap semiconducting β-Ga<sub>2</sub>O<sub>3</sub> thin films by area selective crystallization via room-temperature excimer laser annealing and low-toxic wet etching processes,Institute of Physics,2024,2,,True,Failed (Not Found)
10.1016/j.progpolymsci.2023.101688,Recent progress in non-photolithographic patterning of polymer thin films,Elsevier BV,2023,33,,False,Failed (Not Found)
10.1016/j.jallcom.2024.175779,Copper doping induced band structure and morphology transformation in CaTiO3 for textile dye photodegradation applications,Elsevier BV,2024,25,,False,Failed (Not Found)
10.1016/j.jallcom.2024.175027,Au nanoparticles decorated ZnIn2S4/WO3 core-shell heterostructures as highly sensitive and selective ethylene glycol gas sensors,Elsevier BV,2024,21,,False,Failed (Not Found)
10.35848/1347-4065/acc3a7,Review of molecular layer deposition process and application to area selective deposition via graphitization,Institute of Physics,2023,10,https://iopscience.iop.org/article/10.35848/1347-4065/acc3a7/pdf,True,Failed (Not Found)
10.1016/j.compchemeng.2023.108400,Computational fluid dynamics modeling of a discrete feed atomic layer deposition reactor: Application to reactor design and operation,Elsevier BV,2023,7,,False,Failed (Not Found)
10.1116/6.0002429,Area selective atomic layer deposition of SnO2 as an etch resist in fluorine based processes,American Institute of Physics,2023,1,,False,Failed (Not Found)
10.1116/6.0002347,Aminosilane small molecule inhibitors for area-selective deposition: Study of substrate-inhibitor interfacial interactions,American Institute of Physics,2023,19,,True,Failed (Not Found)
10.1016/j.apsusc.2023.157645,Development of low-temperature bonding platform using ultra-thin area selective deposition for heterogeneous integration,Elsevier BV,2023,16,,True,Failed (Not Found)
10.1016/j.surfin.2023.103298,Soft removal of stearic acid self-assembled monolayer for area-selective atomic layer deposition,Elsevier BV,2023,6,,False,Failed (Not Found)
10.1016/j.jcat.2023.05.002,Breaking the activity-stability trade-off of Au catalysts by depth-controlled TiO2 nanotraps,Elsevier BV,2023,9,,False,Failed (Not Found)
10.1016/j.apsusc.2023.157222,300 mm-wafer metrology for area-selective deposition in nanoscale patterns: A case study for ruthenium atomic layer deposition,Elsevier BV,2023,4,https://ars.els-cdn.com/content/image/1-s2.0-S0169433223009005-ga1_lrg.jpg,True,Failed (Not Found)
10.4150/kpmi.2023.30.2.156,Recent Studies on Area Selective Atomic Layer Deposition of Elemental Metals,Hanguk bunmal jaeryo hakoeji,2023,3,,True,Failed (Not Found)
10.1116/6.0002860,Extending area selective deposition of ruthenium onto 3D SiO2-Si multilayer stacks,American Institute of Physics,2023,3,,False,Failed (Not Found)
10.1116/6.0002413,Using metal precursors to passivate oxides for area selective deposition,American Institute of Physics,2023,2,,False,Failed (Not Found)
10.1109/iitc/mam57687.2023.10154801,Area-Selective Atomic Layer Deposition of Ruthenium Thin Films by Chemo-Selective Adsorption of Short Alkylating Agents,,2023,1,,False,Failed (Not Found)
10.1186/s40580-023-00403-4,Role of oxygen vacancies in ferroelectric or resistive switching hafnium oxide,Springer Nature,2023,127,https://nanoconvergencejournal.springeropen.com/counter/pdf/10.1186/s40580-023-00403-4,True,Failed (Not Found)
10.1016/j.est.2022.106556,Advance and prospect of carbon quantum dots synthesis for energy conversion and storage application: A comprehensive review,Elsevier BV,2023,98,,False,Failed (Not Found)
10.1088/2631-7990/acb46d,Atomic layer deposition for nanoscale oxide semiconductor thin film transistors: review and outlook,IOP Publishing,2023,90,https://iopscience.iop.org/article/10.1088/2631-7990/acb46d/pdf,True,Failed (Not Found)
10.1016/j.seppur.2023.124520,Construction of CdS@ZnO core–shell nanorod arrays by atomic layer deposition for efficient photoelectrochemical H2 evolution,Elsevier BV,2023,85,,False,Failed (Not Found)
10.1016/j.cej.2023.145481,ZnO single nanowire gas sensor: A platform to investigate the sensitization of Pt,Elsevier BV,2023,76,,False,Failed (Not Found)
10.1016/j.cej.2023.142358,Improving photocatalytic performance of defective titania for carbon dioxide photoreduction by Cu cocatalyst with SCN- ion modification,Elsevier BV,2023,56,,False,Failed (Not Found)
10.1016/j.snb.2023.134359,"Highly sensitive and selective detection of benzene, toluene, xylene, and formaldehyde using Au-coated SnO2 nanorod arrays for indoor air quality monitoring",Elsevier BV,2023,45,,False,Failed (Not Found)
10.1109/jeds.2023.3253137,High Temperature Operation of E-Mode and D-Mode AlGaN/GaN MIS-HEMTs With Recessed Gates,Institute of Electrical and Electronics Engineers,2023,34,https://ieeexplore.ieee.org/ielx7/6245494/6423298/10061582.pdf,True,Failed (Not Found)
10.1109/ted.2022.3232476,Electrical Characteristics of Ultrathin InZnO Thin-Film Transistors Prepared by Atomic Layer Deposition,Institute of Electrical and Electronics Engineers,2023,33,,False,Failed (Not Found)
10.1116/6.0002493,<i>In situ</i> analysis of nucleation reactions during TiCl4/H2O atomic layer deposition on SiO2 and H-terminated Si surfaces treated with a silane small molecule inhibitor,American Institute of Physics,2023,8,,True,Failed (Not Found)
10.1116/6.0002762,Investigating wet chemical oxidation methods to form SiO2 interlayers for self-aligned Pt-HfO2-Si gate stacks,American Institute of Physics,2023,5,,False,Failed (Not Found)
10.1016/j.cherd.2023.06.057,Multi-objective optimization for inherently selective atomic layer deposition of zirconia on silicon and not on copper,Elsevier BV,2023,3,,False,Failed (Not Found)
10.4028/p-0njbb4,Chemical Identification of Sub-20 nm Defects and Sub-Monolayer Residues with Nano IR PiFM,Scientific.net,2023,3,,True,Failed (Not Found)
10.1116/6.0002773,Selective mask deposition using SiCl4 plasma for highly selective etching process,American Institute of Physics,2023,3,,False,Failed (Not Found)
10.1109/asicon58565.2023.10396279,Selective Atomic Layer Deposition to Extend Moore’s Law and Beyond: Surface Kinetic Tuning for Self-Aligned Growth,,2023,1,,False,Failed (Not Found)
10.1016/j.jallcom.2023.172747,Metal Ni nanoparticles in-situ anchored on CdS nanowires as effective cocatalyst for boosting the photocatalytic H2 production and degradation activity,Elsevier BV,2023,124,,False,Failed (Not Found)
10.1186/s12951-023-02153-1,Field effect transistor based wearable biosensors for healthcare monitoring,BioMed Central,2023,99,https://jnanobiotechnology.biomedcentral.com/counter/pdf/10.1186/s12951-023-02153-1,True,Failed (Not Found)
10.1016/j.jcis.2023.07.117,Recent advances of modification effect in Co3O4-based catalyst towards highly efficient photocatalysis,Elsevier BV,2023,88,,False,Failed (Not Found)
