doi,publisher,pdf_url,open_access,title,publication_year,cited_by_count
10.1117/12.3084068,,,False,Gate-tunable synaptic organic–inorganic hybrid phototransistors enabling optoelectronic memory and neuromorphic functionality,2026,0
10.1117/12.3082627,,,False,Low-temperature monolithic integration of InGaN µ-LEDs and a-IGZO TFTs,2026,0
10.1088/1361-6641/ae4d7b,IOP Publishing,,True,Micro-Textured In₂O₃/IGZO Heterostructure Thin-film Transistors with Enhanced Field-effect Mobility and Stability,2026,0
10.1088/1361-6528/ae4be2,IOP Publishing,,True,Neuromorphic pain perception and self-healing in an integrated electronic skin-bipolar synaptic transistor system,2026,0
10.1016/j.ceramint.2026.02.431,Elsevier BV,,False,PEALD-grown HfTiO high-k dielectrics enabling high-performance IGZO thin film transistors,2026,0
10.5573/jsts.2026.26.1.1,Institute of Electronics Engineers of Korea,,False,Process Parameter Effects on the Electrical Characteristics of Bottom-gated IGZO TFT Integrated Monolithically on CMOS Circuit,2026,0
10.1038/s41598-026-41519-x,Nature Portfolio,https://www.nature.com/articles/s41598-026-41519-x_reference.pdf,True,Investigating the optoelectronic properties and photovoltaic performance of Na2AuGaBr6 based double perovskite solar cells via numerical simulation and AI techniques,2026,0
10.1007/s44291-026-00183-1,Discover Electronics,https://link.springer.com/content/pdf/10.1007/s44291-026-00183-1.pdf,True,Thin-film transistor approaches for ultra-sensitive gas sensing technologies,2026,0
10.1007/s42341-026-00700-9,Springer Science+Business Media,https://link.springer.com/content/pdf/10.1007/s42341-026-00700-9.pdf,True,Effects of Heterojunction-Induced Surface Modification on the Performance of Oxide TFT,2026,0
10.1038/s41598-026-40769-z,Nature Portfolio,,True,Sputtering-driven formation of interstitial oxygen for intrinsic NIR detection in IGZO phototransistor,2026,0
10.1007/s13391-026-00633-8,Springer Science+Business Media,,False,Radiation-Tolerant Amorphous Indium–Zinc–Tin–Oxide Thin-Film Transistors,2026,0
10.1016/j.cej.2026.174485,Elsevier BV,,False,Transparent anti-freezing hydrogel with sustained water retention for low-temperature UV-sensing and optical transmission,2026,0
10.1021/acsnano.5c19884,American Chemical Society,,False,Ultrathin Amorphous <i>p</i> -Type Tellurium Oxide Films Enabled by Cryogenic Deposition,2026,0
10.1016/j.apsusc.2026.166327,Elsevier BV,,False,Amorphous Hafnium-Aluminum Oxide and IGZO by Spray Pyrolysis for Low Power Thin Film Transistor Electronics,2026,0
10.1109/isscc49663.2026.11409127,,,False,Highly-Integrated Light-Sensing System with RF Harvesting and Transmission in Commercial N-Type IGZO Flexible Technology,2026,0
10.1016/j.jpowsour.2026.239573,Elsevier BV,,False,Integrated simulation of Li2AgBiBr6 solar harvesters: Device-level engineering and module-level forecasting,2026,1
10.1016/j.surfin.2026.108737,Elsevier BV,,False,Study on Interdiffusion at the interface between HZO and IGZO layers,2026,0
10.35848/1347-4065/ae4403,Institute of Physics,,True,An innovative structure to improve erase characteristics using p-doped polysilicon in ferroelectric 3D NAND flash with IGZO-channel,2026,0
10.1021/acsaelm.5c02447,American Chemical Society,,False,Enhanced Visible-Light Response and Optoelectronic Properties of a-IGZO Phototransistors with Dye and PMMA Blend Heterojunctions,2026,0
10.1021/acsaelm.5c02548,American Chemical Society,,False,Deep Learning-Driven Selectivity Enhancement in Synergistic p-Cu <sub>2</sub> O/n-IGZO Gas Sensor Arrays,2026,0
10.1016/j.surfin.2026.108677,Elsevier BV,,False,Performance enhancement of indium gallium zinc oxide thin-film transistors through optimization of the octadecylphosphonic acid self-assembled monolayer process,2026,0
10.1088/1674-1056/ae40da,IOP Publishing,,True,Improved Stability of Amorphous InGaZnO <sub>4</sub> Thin-Film Transistors under Negative Bias Illumination Stress with the Incorporation of Fluorine Passivation and Metal Shielding Lines,2026,0
