openalex_id,doi,title,publisher,journal,journal_id,journal_type,journal_issn_l,journal_issn_json,publication_date,publication_year,work_type,cited_by_count,citation_normalized_percentile,pdf_url,open_access,author_count,first_author,authors_display,authors_json,source,priority,download_status,landing_attempted,landing_success,landing_state,landing_url,landing_title,browser_session_mode,browser_session_source,browser_profile_name,browser_user_data_dir,scheduler_publisher,scheduled_start_ms,actual_start_ms,pacing_wait_ms,pacing_jitter_sec
https://openalex.org/W3010463153,10.1038/s41560-020-0575-z,High-energy long-cycling all-solid-state lithium metal batteries enabled by silver–carbon composite anodes,Nature Portfolio,Nature Energy,https://openalex.org/S2764528046,journal,2058-7546,"[""2058-7546""]",2020-03-09,2020,article,1607,0.99991887,,False,16,Yong-Gun Lee,Yong-Gun Lee; Satoshi Fujiki; Changhoon Jung; N. Suzuki; Nobuyoshi Yashiro; Ryo Omoda; Dong‐Su Ko; Tomoyuki Shiratsuchi; Toshinori Sugimoto; Saebom Ryu; Jun H. Ku; Taku Watanabe; Y. Park; Yûichi Aihara; Dongmin Im; In Taek Han,"[{""display_name"": ""Yong-Gun Lee"", ""id"": ""https://openalex.org/A5068048593"", ""orcid"": ""https://orcid.org/0000-0003-4374-9057"", ""author_position"": ""first"", ""is_corresponding"": true}, {""display_name"": ""Satoshi Fujiki"", ""id"": ""https://openalex.org/A5040495240"", ""orcid"": ""https://orcid.org/0000-0002-0466-6892"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Changhoon Jung"", ""id"": ""https://openalex.org/A5103893745"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""N. Suzuki"", ""id"": ""https://openalex.org/A5022933638"", ""orcid"": ""https://orcid.org/0000-0002-6904-6897"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Nobuyoshi Yashiro"", ""id"": ""https://openalex.org/A5042955794"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Ryo Omoda"", ""id"": ""https://openalex.org/A5049721902"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Dong‐Su Ko"", ""id"": ""https://openalex.org/A5075061561"", ""orcid"": ""https://orcid.org/0000-0001-5901-3146"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Tomoyuki Shiratsuchi"", ""id"": ""https://openalex.org/A5001404916"", ""orcid"": ""https://orcid.org/0000-0002-2496-5734"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Toshinori Sugimoto"", ""id"": ""https://openalex.org/A5067259606"", ""orcid"": ""https://orcid.org/0000-0002-9676-451X"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Saebom Ryu"", ""id"": ""https://openalex.org/A5084117263"", ""orcid"": ""https://orcid.org/0000-0003-1905-0289"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Jun H. Ku"", ""id"": ""https://openalex.org/A5113561971"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Taku Watanabe"", ""id"": ""https://openalex.org/A5103106338"", ""orcid"": ""https://orcid.org/0000-0002-7948-7573"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Y. Park"", ""id"": ""https://openalex.org/A5001687095"", ""orcid"": ""https://orcid.org/0000-0002-9291-2706"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Yûichi Aihara"", ""id"": ""https://openalex.org/A5042813782"", ""orcid"": ""https://orcid.org/0000-0001-5879-7452"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Dongmin Im"", ""id"": ""https://openalex.org/A5077849827"", ""orcid"": ""https://orcid.org/0000-0003-2788-0477"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""In Taek Han"", ""id"": ""https://openalex.org/A5111429639"", ""orcid"": null, ""author_position"": ""last"", ""is_corresponding"": false}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,nature,1773307073766,1773307075271,1504,1.542
https://openalex.org/W2796963093,10.1016/j.jpowsour.2018.04.022,Review on solid electrolytes for all-solid-state lithium-ion batteries,Elsevier BV,Journal of Power Sources,https://openalex.org/S177147899,journal,0378-7753,"[""0378-7753"", ""1873-2755""]",2018-04-12,2018,article,1328,0.99971796,,False,5,Feng Zheng,Feng Zheng; Masashi Kotobuki; Shufeng Song; Man On Lai; Li Lü,"[{""display_name"": ""Feng Zheng"", ""id"": ""https://openalex.org/A5103182219"", ""orcid"": ""https://orcid.org/0000-0003-1807-7949"", ""author_position"": ""first"", ""is_corresponding"": false}, {""display_name"": ""Masashi Kotobuki"", ""id"": ""https://openalex.org/A5063040633"", ""orcid"": ""https://orcid.org/0000-0001-7335-3833"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Shufeng Song"", ""id"": ""https://openalex.org/A5049803846"", ""orcid"": ""https://orcid.org/0000-0001-9049-8305"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Man On Lai"", ""id"": ""https://openalex.org/A5103633268"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Li Lü"", ""id"": ""https://openalex.org/A5100386321"", ""orcid"": ""https://orcid.org/0000-0002-3794-2793"", ""author_position"": ""last"", ""is_corresponding"": true}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,elsevier,1773301434596,1773301434597,0,0.761
https://openalex.org/W2738510685,10.1021/jacs.7b06327,"Influence of Lattice Polarizability on the Ionic Conductivity in the Lithium Superionic Argyrodites Li<sub>6</sub>PS<sub>5</sub>X (X = Cl, Br, I)",American Chemical Society,Journal of the American Chemical Society,https://openalex.org/S111155417,journal,0002-7863,"[""0002-7863"", ""1520-5126"", ""1943-2984""]",2017-07-25,2017,article,694,0.99722755,,False,10,Marvin A. Kraft,Marvin A. Kraft; Sean P. Culver; M. Calderón; Felix Böcher; Thorben Krauskopf; Anatoliy Senyshyn; Christian Dietrich; Alexandra Zevalkink; Jürgen Janek; Wolfgang G. Zeier,"[{""display_name"": ""Marvin A. Kraft"", ""id"": ""https://openalex.org/A5035145677"", ""orcid"": ""https://orcid.org/0009-0005-5632-4228"", ""author_position"": ""first"", ""is_corresponding"": true}, {""display_name"": ""Sean P. Culver"", ""id"": ""https://openalex.org/A5085137977"", ""orcid"": ""https://orcid.org/0000-0002-4156-6487"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""M. Calderón"", ""id"": ""https://openalex.org/A5077138135"", ""orcid"": ""https://orcid.org/0000-0001-7395-9747"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Felix Böcher"", ""id"": ""https://openalex.org/A5081191326"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Thorben Krauskopf"", ""id"": ""https://openalex.org/A5081413550"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Anatoliy Senyshyn"", ""id"": ""https://openalex.org/A5016832643"", ""orcid"": ""https://orcid.org/0000-0002-1473-8992"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Christian Dietrich"", ""id"": ""https://openalex.org/A5066046654"", ""orcid"": ""https://orcid.org/0000-0001-9258-0513"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Alexandra Zevalkink"", ""id"": ""https://openalex.org/A5049200445"", ""orcid"": ""https://orcid.org/0000-0002-4672-7438"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Jürgen Janek"", ""id"": ""https://openalex.org/A5084882618"", ""orcid"": ""https://orcid.org/0000-0002-9221-4756"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Wolfgang G. Zeier"", ""id"": ""https://openalex.org/A5052900478"", ""orcid"": ""https://orcid.org/0000-0001-7749-5089"", ""author_position"": ""last"", ""is_corresponding"": false}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,acs,1773301434600,1773301477721,43121,1.763
https://openalex.org/W2969387578,10.1021/acsenergylett.9b01693,Elucidating Reversible Electrochemical Redox of Li<sub>6</sub>PS<sub>5</sub>Cl Solid Electrolyte,American Chemical Society,ACS Energy Letters,https://openalex.org/S2764414965,journal,2380-8195,"[""2380-8195""]",2019-08-20,2019,article,633,0.99606176,,True,10,Darren H. S. Tan,Darren H. S. Tan; Erik A. Wu; Han Nguyen; Zheng Chen; Maxwell A. T. Marple; Jean‐Marie Doux; Xuefeng Wang; Hedi Yang; Abhik Banerjee; Ying Shirley Meng,"[{""display_name"": ""Darren H. S. Tan"", ""id"": ""https://openalex.org/A5081998769"", ""orcid"": ""https://orcid.org/0000-0001-6568-4771"", ""author_position"": ""first"", ""is_corresponding"": false}, {""display_name"": ""Erik A. Wu"", ""id"": ""https://openalex.org/A5103242250"", ""orcid"": ""https://orcid.org/0000-0002-7639-171X"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Han Nguyen"", ""id"": ""https://openalex.org/A5103125566"", ""orcid"": ""https://orcid.org/0009-0007-4654-2138"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Zheng Chen"", ""id"": ""https://openalex.org/A5100370681"", ""orcid"": ""https://orcid.org/0000-0002-9186-4298"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Maxwell A. T. Marple"", ""id"": ""https://openalex.org/A5026310645"", ""orcid"": ""https://orcid.org/0000-0001-5251-8301"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Jean‐Marie Doux"", ""id"": ""https://openalex.org/A5011501315"", ""orcid"": ""https://orcid.org/0000-0002-9801-4800"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Xuefeng Wang"", ""id"": ""https://openalex.org/A5100451947"", ""orcid"": ""https://orcid.org/0000-0001-9666-8942"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Hedi Yang"", ""id"": ""https://openalex.org/A5113214275"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Abhik Banerjee"", ""id"": ""https://openalex.org/A5068954455"", ""orcid"": ""https://orcid.org/0000-0003-2379-298X"", ""author_position"": ""middle"", ""is_corresponding"": true}, {""display_name"": ""Ying Shirley Meng"", ""id"": ""https://openalex.org/A5087291851"", ""orcid"": ""https://orcid.org/0000-0001-8936-8845"", ""author_position"": ""last"", ""is_corresponding"": true}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,acs,1773301434646,1773301436101,1455,1.192
https://openalex.org/W2943535768,10.1002/anie.201814222,Boosting Solid‐State Diffusivity and Conductivity in Lithium Superionic Argyrodites by Halide Substitution,Wiley,Angewandte Chemie International Edition,https://openalex.org/S67393510,journal,1433-7851,"[""1433-7851"", ""1521-3773""]",2019-05-01,2019,article,609,0.99814016,,False,7,Parvin Adeli,Parvin Adeli; David Bazak; Kern Ho Park; Ivan Kochetkov; Ashfia Huq; Gillian R. Goward; Linda F. Nazar,"[{""display_name"": ""Parvin Adeli"", ""id"": ""https://openalex.org/A5065628999"", ""orcid"": ""https://orcid.org/0000-0002-0311-0382"", ""author_position"": ""first"", ""is_corresponding"": false}, {""display_name"": ""David Bazak"", ""id"": ""https://openalex.org/A5075575224"", ""orcid"": ""https://orcid.org/0000-0002-4599-3208"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Kern Ho Park"", ""id"": ""https://openalex.org/A5091485561"", ""orcid"": ""https://orcid.org/0000-0002-0087-7625"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Ivan Kochetkov"", ""id"": ""https://openalex.org/A5058794934"", ""orcid"": ""https://orcid.org/0000-0001-9602-8697"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Ashfia Huq"", ""id"": ""https://openalex.org/A5072593469"", ""orcid"": ""https://orcid.org/0000-0002-8445-9649"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Gillian R. Goward"", ""id"": ""https://openalex.org/A5018737861"", ""orcid"": ""https://orcid.org/0000-0002-7489-3329"", ""author_position"": ""middle"", ""is_corresponding"": true}, {""display_name"": ""Linda F. Nazar"", ""id"": ""https://openalex.org/A5079626231"", ""orcid"": ""https://orcid.org/0000-0002-3314-8197"", ""author_position"": ""last"", ""is_corresponding"": true}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,wiley,1773302311230,1773302312730,1499,1.074
https://openalex.org/W2604591970,10.1021/acs.chemmater.6b04990,"Interface Stability of Argyrodite Li<sub>6</sub>PS<sub>5</sub>Cl toward LiCoO<sub>2</sub>, LiNi<sub>1/3</sub>Co<sub>1/3</sub>Mn<sub>1/3</sub>O<sub>2</sub>, and LiMn<sub>2</sub>O<sub>4</sub> in Bulk All-Solid-State Batteries",American Chemical Society,Chemistry of Materials,https://openalex.org/S66104727,journal,0897-4756,"[""0897-4756"", ""1520-5002""]",2017-04-07,2017,article,598,0.99671396,,False,6,Jérémie Auvergniot,Jérémie Auvergniot; Alice Cassel; Jean‐Bernard Ledeuil; Virginie Viallet; Vincent Seznéc; Rémi Dedryvère,"[{""display_name"": ""Jérémie Auvergniot"", ""id"": ""https://openalex.org/A5107936939"", ""orcid"": null, ""author_position"": ""first"", ""is_corresponding"": true}, {""display_name"": ""Alice Cassel"", ""id"": ""https://openalex.org/A5038404902"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Jean‐Bernard Ledeuil"", ""id"": ""https://openalex.org/A5034112284"", ""orcid"": ""https://orcid.org/0000-0002-7366-2190"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Virginie Viallet"", ""id"": ""https://openalex.org/A5108853385"", ""orcid"": ""https://orcid.org/0000-0002-3853-6287"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Vincent Seznéc"", ""id"": ""https://openalex.org/A5088541476"", ""orcid"": ""https://orcid.org/0000-0001-5233-5943"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Rémi Dedryvère"", ""id"": ""https://openalex.org/A5079560240"", ""orcid"": ""https://orcid.org/0000-0001-5125-640X"", ""author_position"": ""last"", ""is_corresponding"": false}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,acs,1773301442572,1773301444548,1976,1.443
https://openalex.org/W2735637807,10.1016/j.ssi.2017.07.005,Interfacial reactivity and interphase growth of argyrodite solid electrolytes at lithium metal electrodes,Elsevier BV,Solid State Ionics,https://openalex.org/S101472891,journal,0167-2738,"[""0167-2738"", ""1872-7689""]",2017-07-14,2017,article,571,0.9950324,,False,5,Sebastian Wenzel,Sebastian Wenzel; Stefan J. Sedlmaier; Christian Dietrich; Wolfgang G. Zeier; Jürgen Janek,"[{""display_name"": ""Sebastian Wenzel"", ""id"": ""https://openalex.org/A5109882367"", ""orcid"": null, ""author_position"": ""first"", ""is_corresponding"": false}, {""display_name"": ""Stefan J. Sedlmaier"", ""id"": ""https://openalex.org/A5033239199"", ""orcid"": ""https://orcid.org/0000-0002-5337-3076"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Christian Dietrich"", ""id"": ""https://openalex.org/A5066046654"", ""orcid"": ""https://orcid.org/0000-0001-9258-0513"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Wolfgang G. Zeier"", ""id"": ""https://openalex.org/A5052900478"", ""orcid"": ""https://orcid.org/0000-0001-7749-5089"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Jürgen Janek"", ""id"": ""https://openalex.org/A5084882618"", ""orcid"": ""https://orcid.org/0000-0002-9221-4756"", ""author_position"": ""last"", ""is_corresponding"": true}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,elsevier,1773301434634,1773301442568,7933,0.963
https://openalex.org/W2970796811,10.1038/s41563-019-0576-0,Clarifying the relationship between redox activity and electrochemical stability in solid electrolytes,Nature Portfolio,Nature Materials,https://openalex.org/S103895331,journal,1476-1122,"[""1476-1122"", ""1476-4660""]",2020-01-13,2020,article,491,0.99816677,,True,14,Tammo K. Schwietert,Tammo K. Schwietert; Violetta A. Arszelewska; Chao Wang; Chuang Yu; Alexandros Vasileiadis; Niek J. J. de Klerk; Jart Hageman; Thomas Hupfer; Ingo Kerkamm; Yaolin Xu; Eveline van der Maas; Erik M. Kelder; Swapna Ganapathy; Marnix Wagemaker,"[{""display_name"": ""Tammo K. Schwietert"", ""id"": null, ""orcid"": null, ""author_position"": ""first"", ""is_corresponding"": true}, {""display_name"": ""Violetta A. Arszelewska"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Chao Wang"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Chuang Yu"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Alexandros Vasileiadis"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Niek J. J. de Klerk"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Jart Hageman"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Thomas Hupfer"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Ingo Kerkamm"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Yaolin Xu"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Eveline van der Maas"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Erik M. Kelder"", ""id"": null, ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Swapna Ganapathy"", ""id"": null, ""orcid"": ""https://orcid.org/0000-0001-5265-1663"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Marnix Wagemaker"", ""id"": null, ""orcid"": ""https://orcid.org/0000-0003-3851-1044"", ""author_position"": ""last"", ""is_corresponding"": false}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,nature,1773307128445,1773307129947,1501,1.156
https://openalex.org/W2898852317,10.1021/jacs.8b10282,Inducing High Ionic Conductivity in the Lithium Superionic Argyrodites Li<sub>6+<i>x</i></sub>P<sub>1–<i>x</i></sub>Ge<sub><i>x</i></sub>S<sub>5</sub>I for All-Solid-State Batteries,American Chemical Society,Journal of the American Chemical Society,https://openalex.org/S111155417,journal,0002-7863,"[""0002-7863"", ""1520-5126"", ""1943-2984""]",2018-11-01,2018,article,484,0.9973005,,True,10,Marvin A. Kraft,Marvin A. Kraft; Saneyuki Ohno; Tatiana Zinkevich; Raimund Koerver; Sean P. Culver; Till Fuchs; Anatoliy Senyshyn; Sylvio Indris; Benjamin J. Morgan; Wolfgang G. Zeier,"[{""display_name"": ""Marvin A. Kraft"", ""id"": ""https://openalex.org/A5035145677"", ""orcid"": ""https://orcid.org/0009-0005-5632-4228"", ""author_position"": ""first"", ""is_corresponding"": false}, {""display_name"": ""Saneyuki Ohno"", ""id"": ""https://openalex.org/A5029516654"", ""orcid"": ""https://orcid.org/0000-0001-8192-996X"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Tatiana Zinkevich"", ""id"": ""https://openalex.org/A5007138622"", ""orcid"": ""https://orcid.org/0000-0002-8145-3145"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Raimund Koerver"", ""id"": ""https://openalex.org/A5067610455"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Sean P. Culver"", ""id"": ""https://openalex.org/A5085137977"", ""orcid"": ""https://orcid.org/0000-0002-4156-6487"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Till Fuchs"", ""id"": ""https://openalex.org/A5026425699"", ""orcid"": null, ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Anatoliy Senyshyn"", ""id"": ""https://openalex.org/A5016832643"", ""orcid"": ""https://orcid.org/0000-0002-1473-8992"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Sylvio Indris"", ""id"": ""https://openalex.org/A5046099728"", ""orcid"": ""https://orcid.org/0000-0002-5100-113X"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Benjamin J. Morgan"", ""id"": ""https://openalex.org/A5070797735"", ""orcid"": ""https://orcid.org/0000-0002-3056-8233"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Wolfgang G. Zeier"", ""id"": ""https://openalex.org/A5052900478"", ""orcid"": ""https://orcid.org/0000-0001-7749-5089"", ""author_position"": ""last"", ""is_corresponding"": true}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,acs,1773301450523,1773301452509,1985,0.953
https://openalex.org/W2765536246,10.1038/s41467-017-01187-y,"Accessing the bottleneck in all-solid state batteries, lithium-ion transport over the solid-electrolyte-electrode interface",Nature Portfolio,Nature Communications,https://openalex.org/S64187185,journal,2041-1723,"[""2041-1723""]",2017-10-16,2017,article,420,0.99617231,https://www.nature.com/articles/s41467-017-01187-y.pdf,True,7,Chuang Yu,Chuang Yu; Swapna Ganapathy; Ernst R. H. van Eck; Heng Wang; Shibabrata Basak; Zhaolong Li; Marnix Wagemaker,"[{""display_name"": ""Chuang Yu"", ""id"": ""https://openalex.org/A5008927032"", ""orcid"": ""https://orcid.org/0000-0002-3518-1230"", ""author_position"": ""first"", ""is_corresponding"": true}, {""display_name"": ""Swapna Ganapathy"", ""id"": ""https://openalex.org/A5075602037"", ""orcid"": ""https://orcid.org/0000-0001-5265-1663"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Ernst R. H. van Eck"", ""id"": ""https://openalex.org/A5030253796"", ""orcid"": ""https://orcid.org/0000-0002-2365-9583"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Heng Wang"", ""id"": ""https://openalex.org/A5100453945"", ""orcid"": ""https://orcid.org/0000-0001-9338-6624"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Shibabrata Basak"", ""id"": ""https://openalex.org/A5029866201"", ""orcid"": ""https://orcid.org/0000-0002-4331-4742"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Zhaolong Li"", ""id"": ""https://openalex.org/A5038533816"", ""orcid"": ""https://orcid.org/0000-0003-1041-0903"", ""author_position"": ""middle"", ""is_corresponding"": false}, {""display_name"": ""Marnix Wagemaker"", ""id"": ""https://openalex.org/A5034244816"", ""orcid"": ""https://orcid.org/0000-0003-3851-1044"", ""author_position"": ""last"", ""is_corresponding"": false}]",Yearly TOP 1.0% cited,1,Success (scihub),False,False,not_attempted,,,,,,,nature,1773307182492,1773307183990,1498,1.379
