doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
10.1016/j.ijmachtools.2024.104173,Area selective deposition for bottom-up atomic-scale manufacturing,Elsevier BV,2024,15,,False,FAIL_NO_CANDIDATE
10.1063/5.0207496,<i>In situ</i> formation of inhibitor species through catalytic surface reactions during area-selective atomic layer deposition of TaN,American Institute of Physics,2024,10,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/5.0207496/19961666/204701_1_5.0207496.pdf,True,FAIL_NO_CANDIDATE
10.1116/6.0003838,Stochastic lattice model for atomic layer deposition and area-selective deposition of metal oxides: Visualization and analysis of lateral overgrowth during area-selective deposition,American Institute of Physics,2024,2,,False,FAIL_NO_CANDIDATE
10.1021/acsami.3c14821,Reactive Vapor-Phase Inhibitors for Area-Selective Depositions at Tunable Critical Dimensions,American Chemical Society,2024,11,,False,FAIL_BLOCK
10.1016/j.dche.2024.100140,Multiscale computational fluid dynamics modeling of an area-selective atomic layer deposition process using a discrete feed method,Elsevier BV,2024,11,,True,FAIL_NO_CANDIDATE
10.1116/6.0003941,Preparation of Br-terminated Si(100) and Si(111) surfaces and their use as atomic layer deposition resists,American Institute of Physics,2024,6,,False,FAIL_BLOCK
10.7567/ssdm.2024.c-4-02,Development of Hybrid Bonding Using Area-Selective Passivation Layer Deposition Technology on Various Substrates for Heterogeneous Integrated Structure,,2024,1,,False,FAIL_NO_CANDIDATE
10.1021/acsomega.3c08717,"A Review of Synthesis Methods, Modifications, and Mechanisms of ZnO/TiO<sub>2</sub>-Based Photocatalysts for Photodegradation of Contaminants",American Chemical Society,2024,243,https://pubs.acs.org/doi/pdf/10.1021/acsomega.3c08717,True,FAIL_BLOCK
10.1016/j.ccr.2024.215942,"ZnO nanostructures – Future frontiers in photocatalysis, solar cells, sensing, supercapacitor, fingerprint technologies, toxicity, and clinical diagnostics",Elsevier BV,2024,84,,True,FAIL_NO_CANDIDATE
10.1021/jacs.3c12630,Tuning Energy Transfer Pathways in Halide Perovskite–Dye Hybrids through Bandgap Engineering,American Chemical Society,2024,43,,True,FAIL_BLOCK
10.1016/j.ccr.2024.215870,"Unveiling cutting-edge progress in the fundamentals of MXene: Synthesis strategies, energy and bio-environmental applications",Elsevier BV,2024,35,,False,FAIL_NO_CANDIDATE
10.1021/acsnano.3c10495,Nonconventional Strain Engineering for Uniform Biaxial Tensile Strain in MoS<sub>2</sub> Thin Film Transistors,American Chemical Society,2024,29,,False,FAIL_BLOCK
10.1016/j.jmst.2024.04.016,Advancements in two-dimensional Ti3C2 MXene interfaced semiconductors for room temperature NO2 gas sensing: A review,Elsevier BV,2024,28,,False,FAIL_NO_CANDIDATE
10.1063/5.0188699,Ag@SnO2/CsPbBr3 nanocomposite gas sensor for well-behaved low-concentration ethanolamine sensing at room temperature,American Institute of Physics,2024,21,https://pubs.aip.org/aip/jap/article-pdf/doi/10.1063/5.0188699/19750212/084503_1_5.0188699.pdf,True,FAIL_BLOCK
10.1016/j.susmat.2024.e00935,Recent advances and prospects in MOF/MXene sensors,Elsevier BV,2024,21,,False,FAIL_NO_CANDIDATE
10.1007/s12598-024-02864-w,Halide perovskite‐based heterostructures for photocatalytic CO <sub>2</sub> conversion,Springer Science+Business Media,2024,20,,False,FAIL_NO_CANDIDATE
