doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
10.1039/d4mh01472c,Nanostructure fabrication by area selective deposition: a brief review,Royal Society of Chemistry,2024,12,,True,FAIL_NO_CANDIDATE
10.1063/5.0207496,<i>In situ</i> formation of inhibitor species through catalytic surface reactions during area-selective atomic layer deposition of TaN,American Institute of Physics,2024,10,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/5.0207496/19961666/204701_1_5.0207496.pdf,True,FAIL_NO_CANDIDATE
10.1002/admt.202301820,Selectivity and Growth Rate Modulations for Ruthenium Area‐selective Deposition by Co‐Reagent and Nanopattern Design,Wiley,2024,6,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202301820,True,FAIL_ACCESS_RIGHTS
10.1002/smll.202402543,Sustained Area‐Selectivity in Atomic Layer Deposition of Ir Films: Utilization of Dual Effects of O<sub>3</sub> in Deposition and Etching,Wiley,2024,7,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202402543,True,FAIL_ACCESS_RIGHTS
10.35848/1347-4065/ad9481,Development of hybrid bonding using area-selective passivation layer deposition technology on various substrates for heterogeneous integrated structure,Institute of Physics,2024,1,https://iopscience.iop.org/article/10.35848/1347-4065/ad9481/pdf,True,FAIL_ACCESS_RIGHTS
10.1002/adfm.202407217,Built‐In Electric Field Enhancement Strategy Induced by Cross‐Dimensional Nano‐Heterointerface Design for Electromagnetic Wave Absorption,Wiley,2024,87,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202407217,True,FAIL_ACCESS_RIGHTS
10.1016/j.ccr.2024.215942,"ZnO nanostructures – Future frontiers in photocatalysis, solar cells, sensing, supercapacitor, fingerprint technologies, toxicity, and clinical diagnostics",Elsevier BV,2024,84,,True,FAIL_NO_CANDIDATE
10.1016/j.catcom.2024.106914,"Synthesis, properties, and utilization of carbon quantum dots as photocatalysts on degradation of organic dyes: A mini review",Elsevier BV,2024,66,,True,FAIL_NO_CANDIDATE
10.1021/jacs.3c12630,Tuning Energy Transfer Pathways in Halide Perovskite–Dye Hybrids through Bandgap Engineering,American Chemical Society,2024,43,,True,FAIL_ACCESS_RIGHTS
10.1021/acsenergylett.4c01240,Tailoring the Surface Termination of BiVO<sub>4</sub> Photoanodes Using Ammonium Metavanadate Enhances the Solar Water Oxidation Performance,American Chemical Society,2024,31,,True,FAIL_ACCESS_RIGHTS
10.1002/solr.202400268,Investigation of the Ag–Si Contact Characteristics of Boron Emitters for n‐Tunnel Oxide‐Passivated Contact Solar Cells Metallized by Laser‐Assisted Current Injection Treatment,Wiley,2024,23,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/solr.202400268,True,FAIL_ACCESS_RIGHTS
10.1088/1402-4896/ad1e44,A review of novel methods to improve the optical and electrical properties of n-type and p-type sulphides and oxides: leading the frontiers of semiconductor technology,IOP Publishing,2024,22,,True,FAIL_ACCESS_RIGHTS
10.1002/smll.202309750,Nanoarchitectonics toward Full Coverage of CdZnS Nanospheres by Layered Double Hydroxides for Enhanced Visible‐Light‐Driven H<sub>2</sub> Evolution,Wiley,2024,21,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202309750,True,FAIL_ACCESS_RIGHTS
10.1063/5.0188699,Ag@SnO2/CsPbBr3 nanocomposite gas sensor for well-behaved low-concentration ethanolamine sensing at room temperature,American Institute of Physics,2024,21,https://pubs.aip.org/aip/jap/article-pdf/doi/10.1063/5.0188699/19750212/084503_1_5.0188699.pdf,True,FAIL_CAPTCHA
10.1088/2053-1583/ad1a6e,Area-selective chalcogenization of transition metals through graphene mask,IOP Publishing,2024,2,https://iopscience.iop.org/article/10.1088/2053-1583/ad1a6e/pdf,True,FAIL_ACCESS_RIGHTS
10.1116/6.0003316,Inhibition of atomic layer deposition of TiO2 by functionalizing silicon surface with 4-fluorophenylboronic acid,American Institute of Physics,2024,4,,True,FAIL_CAPTCHA
10.35848/1882-0786/ada247,Surface patterning of wide-gap semiconducting β-Ga<sub>2</sub>O<sub>3</sub> thin films by area selective crystallization via room-temperature excimer laser annealing and low-toxic wet etching processes,Institute of Physics,2024,2,,True,FAIL_ACCESS_RIGHTS
10.3390/nano14110982,Degradation of Perfluorododecyl-Iodide Self-Assembled Monolayers upon Exposure to Ambient Light,Multidisciplinary Digital Publishing Institute,2024,1,https://www.mdpi.com/2079-4991/14/11/982/pdf?version=1717589622,True,FAIL_NO_CANDIDATE
10.1021/acs.chemmater.2c03404,Enhancing Performance and Function of Polymethacrylate Extreme Ultraviolet Resists Using Area-Selective Deposition,American Chemical Society,2023,13,,True,FAIL_ACCESS_RIGHTS
10.35848/1347-4065/acc3a7,Review of molecular layer deposition process and application to area selective deposition via graphitization,Institute of Physics,2023,10,https://iopscience.iop.org/article/10.35848/1347-4065/acc3a7/pdf,True,FAIL_ACCESS_RIGHTS
