doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
10.1016/j.apcatb.2019.04.036,Reactive sites rich porous tubular yolk-shell g-C3N4 via precursor recrystallization mediated microstructure engineering for photoreduction,Elsevier BV,2019,109,,False,Pending
10.1002/cctc.201500827,Atomically Controllable Pd@Pt Core–Shell Nanoparticles towards Preferential Oxidation of CO in Hydrogen Reactions Modulated by Platinum Shell Thickness,Wiley,2015,36,,False,Pending
10.1021/jp210033y,Interfacial Charge Carrier Dynamics of the Three-Component In<sub>2</sub>O<sub>3</sub>–TiO<sub>2</sub>–Pt Heterojunction System,American Chemical Society,2012,178,,False,Pending
10.1021/cm402422e,Area Selective Growth of Titanium Diselenide Thin Films into Micropatterned Substrates by Low-Pressure Chemical Vapor Deposition,American Chemical Society,2013,34,,True,Pending
10.1038/s41570-022-00434-1,Optimizing the semiconductor–metal-single-atom interaction for photocatalytic reactivity,Nature Portfolio,2022,150,,False,Pending
10.1021/accountsmr.1c00179,Liquid Metal Particles and Polymers: A Soft–Soft System with Exciting Properties,American Chemical Society,2021,55,,False,Pending
10.1016/j.ijmachtools.2024.104173,Area selective deposition for bottom-up atomic-scale manufacturing,Elsevier BV,2024,15,,False,Pending
10.35848/1347-4065/acc3a7,Review of molecular layer deposition process and application to area selective deposition via graphitization,Institute of Physics,2023,10,https://iopscience.iop.org/article/10.35848/1347-4065/acc3a7/pdf,True,Pending
10.1002/anie.201606102,Precise Formation of a Hollow Carbon Nitride Structure with a Janus Surface To Promote Water Splitting by Photoredox Catalysis,Wiley,2016,488,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201606102,True,Pending
10.1109/led.2022.3184316,A 3D Vertical-Channel Ferroelectric/Anti-Ferroelectric FET With Indium Oxide,Institute of Electrical and Electronics Engineers,2022,54,https://ieeexplore.ieee.org/ielx7/55/9841091/09800906.pdf,True,Pending
10.1002/adma.202204865,Implanting CoO<i><sub>x</sub></i> Clusters on Ordered Macroporous ZnO Nanoreactors for Efficient CO<sub>2</sub> Photoreduction,Advanced Materials,2022,85,,False,Pending
10.1143/jjap.39.2457,Determination of the Facet Index in Area Selective Epitaxy of GaAs,Institute of Physics,2000,16,,False,Pending
10.1021/acsnano.9b09101,Fluorescence and Optical Activity of Chiral CdTe Quantum Dots in Their Interaction with Amino Acids,American Chemical Society,2020,95,https://pubs.acs.org/doi/pdf/10.1021/acsnano.9b09101,True,Pending
10.1063/5.0021038,Subtractive patterning: High-resolution electrohydrodynamic jet printing with solvents,American Institute of Physics,2020,13,,False,Pending
10.1016/j.matlet.2022.133574,Area-selective atomic layer deposition of high-quality Ru thin films by chemo-selective adsorption of short alkylating agents,Elsevier BV,2022,11,,False,Pending
10.1002/adfm.201202061,"Size‐Controlled Synthesis of Cu<sub>2‐<i>x</i></sub>E (E = S, Se) Nanocrystals with Strong Tunable Near‐Infrared Localized Surface Plasmon Resonance and High Conductivity in Thin Films",Wiley,2012,284,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.201202061,True,Pending
10.1088/0957-4484/17/9/r01,One-dimensional conductive IrO<sub>2</sub>nanocrystals,IOP Publishing,2006,67,,False,Pending
10.1038/srep08470,Controlled Synthesis of Pd/Pt Core Shell Nanoparticles Using Area-selective Atomic Layer Deposition,Nature Portfolio,2015,92,https://www.nature.com/articles/srep08470.pdf,True,Pending
10.1021/jp311207x,Photoelectrochemical Behavior of n-type Si(100) Electrodes Coated with Thin Films of Manganese Oxide Grown by Atomic Layer Deposition,American Chemical Society,2013,145,,False,Pending
10.1038/s41467-023-37139-y,AlphaFlow: autonomous discovery and optimization of multi-step chemistry using a self-driven fluidic lab guided by reinforcement learning,Nature Portfolio,2023,155,https://www.nature.com/articles/s41467-023-37139-y.pdf,True,Pending
10.3390/nano12091600,In-Situ Imaging of a Light-Induced Modification Process in Organo-Silica Films via Time-Domain Brillouin Scattering,Multidisciplinary Digital Publishing Institute,2022,6,https://www.mdpi.com/2079-4991/12/9/1600/pdf?version=1652089142,True,Pending
10.1116/6.0002347,Aminosilane small molecule inhibitors for area-selective deposition: Study of substrate-inhibitor interfacial interactions,American Institute of Physics,2023,19,,True,Pending
10.1021/acs.jpca.9b08723,Performance and Cost Assessment of Machine Learning Interatomic Potentials,American Chemical Society,2020,881,,True,Pending
10.1016/j.apcatb.2017.03.077,Enhancement of photocatalytic performance with the use of noble-metal-decorated TiO2 nanocrystals as highly active catalysts for aerobic oxidation under visible-light irradiation,Elsevier BV,2017,186,,False,Pending
10.1021/am404397f,SnO<sub>2</sub> Nanoslab as NO<sub>2</sub> Sensor: Identification of the NO<sub>2</sub> Sensing Mechanism on a SnO<sub>2</sub> Surface,American Chemical Society,2013,154,,True,Pending
10.1021/acsenergylett.8b01562,Impact of Surfaces on Photoinduced Halide Segregation in Mixed-Halide Perovskites,American Chemical Society,2018,257,,True,Pending
10.1021/acsami.7b07811,Selective Ru ALD as a Catalyst for Sub-Seven-Nanometer Bottom-Up Metal Interconnects,American Chemical Society,2017,52,,False,Pending
10.1002/anie.200700269,Colorimetric Detection of Mercuric Ion (Hg<sup>2+</sup>) in Aqueous Media using DNA‐Functionalized Gold Nanoparticles,Wiley,2007,1300,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.200700269,True,Pending
10.1021/acs.chemmater.0c00722,"Area-Selective Deposition: Fundamentals, Applications, and Future Outlook",American Chemical Society,2020,318,,False,Pending
10.1021/acsami.7b13365,Reaction Mechanism of Area-Selective Atomic Layer Deposition for Al<sub>2</sub>O<sub>3</sub> Nanopatterns,American Chemical Society,2017,98,,False,Pending
10.1021/jacs.0c12871,"Acid–Base Mediated Ligand Exchange on Near-Infrared Absorbing, Indium-Based III–V Colloidal Quantum Dots",American Chemical Society,2021,66,,False,Pending
10.1002/marc.201700252,Area Selective Polymer Brush Deposition,Wiley,2017,20,,False,Pending
10.1016/j.jmmm.2004.10.040,Area selective formation of magnetic nanodot arrays on Si wafer by electroless deposition,Elsevier BV,2004,14,,False,Pending
10.1149/1.2789301,Area-Selective Atomic Layer Deposition of Platinum on YSZ Substrates Using Microcontact Printed SAMs,Institute of Physics,2007,75,,False,Pending
10.1016/j.envint.2019.02.030,In suit inducing electron-donating and electron-withdrawing groups in carbon nitride by one-step NH4Cl-assisted route: A strategy for high solar hydrogen production efficiency,Elsevier BV,2019,115,,True,Pending
10.1038/s41928-023-01013-y,Optogenetic stimulation probes with single-neuron resolution based on organic LEDs monolithically integrated on CMOS,Nature Portfolio,2023,49,https://www.nature.com/articles/s41928-023-01013-y.pdf,True,Pending
10.1021/ja210755h,Water Oxidation at Hematite Photoelectrodes: The Role of Surface States,American Chemical Society,2012,1014,,True,Pending
10.1116/6.0000912,Atomic layer deposition and selective etching of ruthenium for area-selective deposition: Temperature dependence and supercycle design,American Institute of Physics,2021,16,https://avs.scitation.org/doi/pdf/10.1116/6.0000912,True,Pending
