doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
10.1038/s41699-024-00456-x,Advance in additive manufacturing of 2D materials at the atomic and close-to-atomic scale,Nature Portfolio,2024,50,https://www.nature.com/articles/s41699-024-00456-x.pdf,True,Pending
10.1021/acs.chemmater.3c03326,Theoretical Design Strategies for Area-Selective Atomic Layer Deposition,American Chemical Society,2024,31,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.3c03326,True,Pending
10.1038/s41467-024-46293-w,Area-selective atomic layer deposition on 2D monolayer lateral superlattices,Nature Portfolio,2024,26,https://www.nature.com/articles/s41467-024-46293-w.pdf,True,Pending
10.1016/j.apsusc.2024.160141,Blocking mechanisms in area-selective ALD by small molecule inhibitors of different sizes: Steric shielding versus chemical passivation,Elsevier BV,2024,25,https://ars.els-cdn.com/content/image/1-s2.0-S0169433224008547-ga1_lrg.jpg,True,Pending
10.1002/advs.202402635,Surface Energy‐Assisted Patterning of Vapor Deposited All‐Inorganic Perovskite Arrays for Wearable Optoelectronics,Wiley,2024,17,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202402635,True,Pending
10.1039/d4mh01472c,Nanostructure fabrication by area selective deposition: a brief review,Royal Society of Chemistry,2024,12,,True,Pending
10.1063/5.0207496,<i>In situ</i> formation of inhibitor species through catalytic surface reactions during area-selective atomic layer deposition of TaN,American Institute of Physics,2024,10,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/5.0207496/19961666/204701_1_5.0207496.pdf,True,Pending
10.1021/acs.chemmater.4c01269,An Atomistic Picture of Buildup and Degradation Reactions in Area-Selective Atomic Layer Deposition with a Small Molecule Inhibitor,American Chemical Society,2024,9,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.4c01269,True,Pending
10.1002/adfm.202316872,Low‐Temperature Dual‐Material Area‐Selective Deposition: Molybdenum Hexafluoride‐Mediated SiO<sub>2</sub> Fluorination/Passivation for Self‐Aligned Molybdenum/Metal Oxide Nanoribbons,Wiley,2024,8,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202316872,True,Pending
10.1002/admt.202301820,Selectivity and Growth Rate Modulations for Ruthenium Area‐selective Deposition by Co‐Reagent and Nanopattern Design,Wiley,2024,6,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202301820,True,Pending
10.1039/d4cp03117b,Understanding the role of carboxylic acid surfactants in the growth inhibition effect during area-selective atomic layer deposition: the case of ZnO growth on Cu and Cu<sub>2</sub>O,Royal Society of Chemistry,2024,4,https://pubs.rsc.org/en/content/articlepdf/2024/cp/d4cp03117b,True,Pending
10.1021/acs.jpcc.4c02884,Mechanisms of Area-Selective Atomic Layer Deposition and Their Impact on Feature Sizes,American Chemical Society,2024,2,,True,Pending
10.1016/j.jsamd.2024.100754,Adsorption of dimethylaluminum isopropoxide (DMAI) on the Al2O3 surface: A machine-learning potential study,Elsevier BV,2024,13,,True,Pending
10.1002/adma.202313571,Area‐Selective Chemical Vapor Deposition of Gold by Electron Beam Seeding,Advanced Materials,2024,10,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202313571,True,Pending
10.1002/smll.202402543,Sustained Area‐Selectivity in Atomic Layer Deposition of Ir Films: Utilization of Dual Effects of O<sub>3</sub> in Deposition and Etching,Wiley,2024,7,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202402543,True,Pending
10.1016/j.dche.2024.100140,Multiscale computational fluid dynamics modeling of an area-selective atomic layer deposition process using a discrete feed method,Elsevier BV,2024,11,,True,Pending
10.3390/mi15020261,Area-Selective Growth of Zinc Oxide Nanowire Arrays for Piezoelectric Energy Harvesting,Multidisciplinary Digital Publishing Institute,2024,9,https://www.mdpi.com/2072-666X/15/2/261/pdf?version=1707562578,True,Pending
10.1021/acsnano.4c10387,Toward Spatial Control of Reaction Selectivity on Photocatalysts Using Area-Selective Atomic Layer Deposition on the Model Dual Site Electrocatalyst Platform,American Chemical Society,2024,5,,True,Pending
