doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
10.1038/s41699-024-00456-x,Advance in additive manufacturing of 2D materials at the atomic and close-to-atomic scale,Nature Portfolio,2024,50,https://www.nature.com/articles/s41699-024-00456-x.pdf,True,Pending
10.1021/acs.chemmater.3c03326,Theoretical Design Strategies for Area-Selective Atomic Layer Deposition,American Chemical Society,2024,31,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.3c03326,True,Pending
10.1038/s41467-024-46293-w,Area-selective atomic layer deposition on 2D monolayer lateral superlattices,Nature Portfolio,2024,26,https://www.nature.com/articles/s41467-024-46293-w.pdf,True,Pending
10.1016/j.apsusc.2024.160141,Blocking mechanisms in area-selective ALD by small molecule inhibitors of different sizes: Steric shielding versus chemical passivation,Elsevier BV,2024,25,https://ars.els-cdn.com/content/image/1-s2.0-S0169433224008547-ga1_lrg.jpg,True,Pending
10.1021/acs.chemmater.4c00412,Deposition of N-Heterocyclic Carbenes on Reactive Metal Substrates─Applications in Area-Selective Atomic Layer Deposition,American Chemical Society,2024,18,,False,Pending
10.1002/advs.202402635,Surface Energy‐Assisted Patterning of Vapor Deposited All‐Inorganic Perovskite Arrays for Wearable Optoelectronics,Wiley,2024,17,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202402635,True,Pending
10.1021/acs.chemmater.3c02525,Organosulfide Inhibitor Instigated Passivation of Multiple Substrates for Area-Selective Atomic Layer Deposition of HfO<sub>2</sub>,American Chemical Society,2024,15,,False,Pending
10.1016/j.apsusc.2024.160033,Area-selective atomic layer deposition (AS-ALD) of low temperature (300 °C) cobalt thin film using octadecyltrichlorosilane (ODTS) self-assembled monolayers (SAMs),Elsevier BV,2024,15,,False,Pending
10.1016/j.ijmachtools.2024.104173,Area selective deposition for bottom-up atomic-scale manufacturing,Elsevier BV,2024,15,,False,Pending
10.1039/d4mh01472c,Nanostructure fabrication by area selective deposition: a brief review,Royal Society of Chemistry,2024,12,,True,Pending
10.1063/5.0207496,<i>In situ</i> formation of inhibitor species through catalytic surface reactions during area-selective atomic layer deposition of TaN,American Institute of Physics,2024,10,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/5.0207496/19961666/204701_1_5.0207496.pdf,True,Pending
10.1021/acs.chemmater.4c01269,An Atomistic Picture of Buildup and Degradation Reactions in Area-Selective Atomic Layer Deposition with a Small Molecule Inhibitor,American Chemical Society,2024,9,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.4c01269,True,Pending
10.1002/adfm.202316872,Low‐Temperature Dual‐Material Area‐Selective Deposition: Molybdenum Hexafluoride‐Mediated SiO<sub>2</sub> Fluorination/Passivation for Self‐Aligned Molybdenum/Metal Oxide Nanoribbons,Wiley,2024,8,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202316872,True,Pending
10.1016/j.apsusc.2024.160530,Si precursor inhibitors for area selective deposition of Ru,Elsevier BV,2024,8,,False,Pending
10.1021/acs.chemmater.3c03158,“Dual-Tone” Area-Selective Deposition: Selectivity Inversion of Polymer on Patterned Si/SiO<sub>2</sub> Starting Surfaces,American Chemical Society,2024,7,,False,Pending
10.1002/admt.202301820,Selectivity and Growth Rate Modulations for Ruthenium Area‐selective Deposition by Co‐Reagent and Nanopattern Design,Wiley,2024,6,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202301820,True,Pending
10.1021/acs.chemmater.4c00286,Low-Temperature Dechlorosilylation Chemistry for Area-Selective Deposition of Ge<sub>2</sub>Sb<sub>2</sub>Te<sub>5</sub> and Its Mechanism in Nanopatterns,American Chemical Society,2024,6,,False,Pending
10.1021/acsami.4c04558,Enhanced Deposition Selectivity of High-<i>k</i> Dielectrics by Vapor Dosing and Selective Removal of Phosphonic Acid Inhibitors,American Chemical Society,2024,5,,False,Pending
10.1021/acs.chemmater.4c01133,Area-Selective Atomic Layer Deposition of Ruthenium via Reduction of Interfacial Oxidation,American Chemical Society,2024,5,,False,Pending
